// Monster Database
//
// Structure of Database :
// ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper
// Note: Keep the Sprite_Name field as it is in the game client.

1012,RODA_FROG,Roda Frog,Roda Frog,9,160,1,90,68,1,14,5,12,5,12,6,4,0,14,9,10,12,1,5,21,0x81,129,2016,816,288,0,14019,3623,31052,1024,19601,4956,1555,1549,25280,3009,5581,1219,18562,1413,6307,4089,2995,4670,13595,4378,27086,4691,17099,3890,12755,428
1013,WOLF,Wolf,Wolf,41,1219,1,342,386,1,113,5,55,3,27,24,30,15,33,5,10,12,1,2,22,0x1089,129,1054,504,432,0,1539,2310,16311,4588,27308,4956,6693,3573,19837,2333,11550,840,11054,1280,6910,3440,1248,2701,7410,3368,5662,2837,6975,3308,13261,693
1014,SPORE,Spore,Spore,12,280,1,117,87,1,31,7,12,10,15,5,10,0,12,0,10,12,1,3,21,0x81,129,1872,672,288,0,16729,3196,2132,4066,4571,3393,4586,804,26151,2394,25044,2874,7517,3526,1939,1825,7822,4060,24220,4553,13921,2574,18976,1532,12418,2676
1015,ZOMBIE,Zombie,Zombie,21,234,1,117,87,1,35,10,20,3,15,8,17,0,15,0,10,12,1,1,29,0x3885,129,2612,912,288,0,12416,2709,4886,4715,4515,1495,7565,3019,6399,4171,20064,4527,20195,1617,18617,4307,1356,4315,4167,186,18660,319,18727,2760,7185,4853
1016,ARCHER_SKELETON,Archer Skeleton,Archer Skeleton,47,1646,1,405,455,13,89,19,47,10,30,29,20,10,32,5,10,12,1,1,29,0x2085,1,2864,864,576,0,13546,2803,2685,2147,15053,2355,12417,4334,13727,4393,31381,2600,4526,2123,4088,3350,12986,3031,7715,3236,6168,1665,24095,904,2211,1336
//1017,THIEF_BUG_FEMALE,Thief Bug Female,Thief Bug Female,10,170,0,35,18,1,33,40,5,5,1,15,10,5,23,5,10,12,1,4,27,0x651,200,988,288,768,0,0,0,0,0,0,0,955,3500,910,250,1108,15,928,200,507,400,716,50,1002,400,0,0,0,0,4026,1
1018,CREAMY,Creamy,Creamy,19,378,1,144,162,1,79,1,28,20,16,1,1,0,1,20,10,12,0,4,24,0x2000081,1,1136,720,840,0,31314,266,31088,4432,5761,2097,17122,2909,1550,4493,22104,2028,1324,3209,27286,855,13729,4790,7111,962,14202,1144,18517,4535,1072,1845
1019,PECOPECO,Peco Peco,Peco Peco,36,446,1,162,183,1,51,5,48,0,21,10,13,5,28,5,10,12,2,2,23,0x1089,129,1564,864,576,0,28951,4819,19734,2011,5584,1326,27295,1605,2198,1589,5711,4156,6487,193,12661,4387,4199,1389,6905,1920,1535,4386,6136,4928,31606,333
1020,MANDRAGORA,Mandragora,Mandragora,9,156,1,97,73,3,25,3,13,2,12,3,5,5,10,5,10,12,1,3,62,0x84,129,1768,768,576,0,13199,4566,7307,1335,24076,3437,7471,1813,6882,4371,6561,2434,6336,1339,2534,4101,1753,547,13596,3658,5785,1769,20051,1339,1512,484
//1021,THIEF_BUG_MALE,Thief Bug Male,Thief Bug Male,19,583,0,223,93,1,76,88,15,5,1,29,16,5,36,1,10,12,1,4,27,0x653,300,988,288,768,0,0,0,0,0,0,0,1011,40,928,5500,955,1500,1152,10,508,90,729,5,1116,50,0,0,0,0,4050,1
//1022,WEREWOLF,Werewolf,Werewolf,80,28600,0,11813,7289,2,2560,3280,65,35,1,97,60,1,135,52,10,10,2,0,40,0x163,200,1500,768,652,0,0,0,0,0,0,0,999,500,1034,4000,984,500,985,500,7017,800,0,0,1912,300,0,0,0,0,0,0
1023,ORK_WARRIOR,Orc Warrior,Orc Warrior,43,1434,1,350,540,1,107,28,52,3,32,15,24,15,16,10,10,12,1,7,22,0x3885,1,1864,864,288,0,31564,3482,15039,658,14234,2658,16506,104,13543,4661,20399,3602,24418,3536,5196,2876,28242,3575,17416,4963,2907,2991,31037,3576,24225,874
1024,WORM_TAIL,Wormtail,Wormtail,20,200,1,117,87,1,20,3,16,0,10,6,14,5,12,35,10,12,1,3,22,0x91,1,1048,48,192,0,24364,2676,7344,3975,31013,213,5496,592,5451,2856,4575,1972,6191,2267,13987,1091,18764,981,24301,4598,19579,2039,18773,4092,5731,3379
1025,SNAKE,Snake,Boa,13,217,1,117,87,1,21,5,9,8,10,8,18,10,14,15,10,12,1,2,22,0x81,129,1576,576,576,0,10021,3483,14643,4835,31133,1155,22112,3783,25277,3621,2834,369,1612,4305,4934,1634,7116,670,21002,3996,16430,203,6507,4187,13708,472
1026,MUNAK,Munak,Munak,86,2445,1,495,557,1,138,42,77,15,53,9,25,10,30,10,10,12,1,1,29,0x3885,129,2468,768,288,0,4553,1240,13652,2562,2694,2959,12499,2519,19081,661,6253,4981,12204,2788,15005,4860,24279,1870,11011,876,1158,4547,2872,3319,13640,3982
//1027,RAPTICE,Raptice,Raptice,17,600,0,100,55,1,0,0,5,10,5,20,20,0,28,10,10,12,1,2,22,0x131,200,2000,1000,500,0,0,0,0,0,0,0,909,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,SOLDIER_SKELETON,Soldier Skeleton,Soldier Skeleton,44,804,1,216,243,1,118,15,53,5,14,10,32,5,29,3,10,12,1,1,29,0x3885,1,2276,576,432,0,4355,2539,4055,2542,16425,2163,19737,3508,4272,460,6149,3687,2992,278,19966,1902,22679,2733,6950,2903,12345,2546,16037,3606,4639,1284
1029,ISIS,Isis,Isis,30,2092,1,531,597,1,310,46,83,5,58,43,22,5,39,15,10,12,2,6,27,0x2003095,1,1384,768,336,0,1613,3421,7425,1415,14561,1962,17473,4004,31467,2534,19125,1245,23256,1672,6473,2820,18815,1719,19651,1200,13197,3436,13613,944,11004,4508
1030,ANACONDAQ,Anacondaq,Anacondaq,169,8510,1,1602,1202,1,642,107,92,0,79,46,28,43,56,25,10,12,1,2,25,0x91,1,1576,576,576,0,20506,2265,7984,4405,14280,2298,6155,3611,14541,3859,5187,2652,18652,3152,4500,1833,18716,1982,19549,4800,14387,764,4219,2636,4479,1719
1031,POPORING,Poporing,Poporing,33,524,1,198,224,1,105,21,36,17,17,26,20,18,36,5,10,12,1,3,25,0x83,129,1672,672,480,0,5972,853,24034,1595,1418,4009,16770,1027,7244,4898,31385,139,14587,3039,13885,3962,13219,3661,6640,1128,2761,3410,19788,1441,6877,1723
1032,VERIT,Verit,Verit,43,1944,1,414,467,1,78,18,63,10,51,4,25,10,5,5,10,12,1,1,29,0x83,129,2468,768,480,0,14585,4995,5137,4804,4770,1779,31130,3933,13023,1226,19848,4705,31316,3674,12190,2465,24262,519,22853,3019,20743,2792,17122,131,13768,3750
1033,ELDER_WILOW,Elder Willow,Elder Willow,23,599,1,233,263,1,123,13,45,0,10,14,25,0,29,0,10,12,1,3,43,0x3095,1,1372,672,432,0,4785,2461,718,4523,29099,1735,12629,1788,1446,3970,1508,1263,14581,4723,513,1495,32262,1367,27157,2016,14243,3077,4900,4113,9055,4887
1034,THARA_FROG,Thara Frog,Thara Frog,47,1157,1,311,350,1,85,38,37,17,25,10,10,18,30,2,10,12,1,5,41,0x81,1,2016,816,288,0,4587,4159,14664,4648,20216,2086,6689,3637,22001,1127,24368,4990,5278,4743,2812,1940,19623,433,24069,4944,7800,3332,7871,3230,4154,594
1035,HUNTER_FLY,Hunter Fly,Hunter Fly,78,2050,1,604,681,1,384,31,46,20,32,72,22,25,79,15,10,12,0,4,44,0x2003885,1,676,576,480,0,12155,1641,12615,4420,6853,2547,31307,2667,12688,4313,14180,1347,12947,1377,12882,1964,14172,4669,13777,1343,1962,1232,1365,2729,27258,1406
1036,GHOUL,Ghoul,Ghoul,81,2614,1,583,656,1,334,57,78,5,56,12,19,11,27,10,10,12,1,1,49,0x3885,1,2456,912,504,0,27255,1786,12595,2803,18715,967,6114,443,1825,728,15152,2537,2315,4963,1634,1983,7241,534,5301,3923,5444,1330,2555,1737,1815,291
1037,SIDE_WINDER,Side Winder,Side Winder,42,2736,1,720,810,1,571,38,101,12,52,32,35,20,66,15,10,12,1,2,25,0x3095,129,1576,576,576,0,11548,4634,14220,939,6398,2780,7568,295,7432,3333,5565,3259,6127,1359,7181,2907,31552,3251,24374,2395,13187,928,7049,2871,29111,548
1038,OSIRIS,Osiris,Osiris,106,475840,1,245520,200880,1,3516,2287,172,164,97,99,86,131,145,67,10,12,1,1,89,0x6283695,129,1072,672,384,122760,1475,4568,4931,4424,4856,4581,29090,3645,12674,4985,20019,4564,31040,3634,5549,2417,14174,468,7215,4220,12728,2200,5158,4521,9058,4361
1039,BAPHOMET,Baphomet,Baphomet,124,668000,1,396525,334106,2,626,2403,279,45,120,125,30,85,155,85,10,12,2,6,67,0x6283695,1,768,768,576,198262,14252,1471,1718,3818,20315,2643,15000,4194,19541,4894,12879,3541,14219,3021,6565,2199,2394,559,6077,643,19845,486,12343,3358,15021,1152
1040,GOLEM,Golem,Golem,6,2245,1,540,608,1,143,23,190,12,70,27,67,5,31,5,10,12,2,0,60,0x91,129,1608,816,396,0,13645,4594,17421,1269,19859,2118,5524,1890,31056,263,4468,3301,7848,2941,16725,4047,7408,349,13582,3870,12200,890,5148,738,1102,4172
1041,MUMMY,Mummy,Mummy,81,2155,1,486,548,1,213,16,95,3,54,4,14,1,62,0,10,12,1,1,49,0x3885,129,1772,72,384,0,18970,4917,20088,2112,13502,2582,7289,4650,20206,338,13088,3136,7082,2409,6978,741,12744,1375,1770,1553,28900,2486,27148,1096,7496,4723
1042,STEEL_CHONCHON,Steel Chonchon,Steel Chonchon,61,1199,1,369,414,1,87,40,57,20,30,62,20,10,56,10,10,12,0,4,24,0x200108B,1,1076,576,480,0,31209,2287,7855,2169,13778,163,12811,4049,17419,2303,31610,1295,14540,2316,1507,1686,4090,2948,7126,888,24160,274,16016,2559,5287,1168
//1043,SEAHORES,Seahorse,Seahorse,18,1452,0,122,78,3,100,150,15,7,1,1,1,1,1,1,10,10,0,5,22,0x131,200,1500,800,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1044,OBEAUNE,Obeaune,Obeaune,34,2158,1,476,534,1,78,27,48,26,54,47,21,40,36,25,10,12,1,5,41,0x3095,1,1872,672,288,0,27318,4948,7154,1428,29114,570,11017,3874,5024,218,22064,3051,6385,3691,31225,2593,13050,3755,12328,3331,19629,1589,1470,191,1551,1068
1045,MARC,Marc,Marc,64,2522,1,525,590,1,99,30,55,24,50,24,22,15,48,20,10,12,1,5,41,0x3885,129,1272,72,480,0,18885,2753,2231,831,12942,2732,1371,1435,18586,1908,1616,1765,18867,1678,6032,4315,13002,4422,28102,2377,732,406,4080,4534,16640,2607
1046,DOPPELGANGER,Doppelganger,Doppelganger,137,380000,1,313200,250560,1,2423,2288,246,86,122,122,105,67,169,72,10,12,1,6,67,0x6283695,1,480,480,288,156600,19932,3943,4783,1899,31212,158,20859,3782,14277,3969,6479,1005,505,3753,13999,1202,15036,2348,7147,1602,5196,3122,18938,2939,18980,1203
1047,PECOPECO_EGG,Peco Peco Egg,Peco Peco Egg,5,75,1,54,41,1,1,1,16,5,4,10,22,8,10,5,10,12,0,0,60,0x0,129,1001,1,1,0,14130,1607,19596,2812,22526,542,25187,3869,2721,1021,4725,3937,27018,2273,24341,4912,13434,111,28446,1654,1964,433,4713,4796,31415,4253
1048,THIEF_BUG_EGG,Thief Bug Egg,Thief Bug Egg,19,344,1,126,143,1,1,1,64,10,10,1,50,0,3,15,10,12,0,4,27,0x2000000,1,701,1,1,0,7227,4900,2693,4833,31507,1460,24141,1820,4247,1872,5737,4278,31011,105,4988,3595,13548,2547,27296,1325,15093,1578,16738,3525,19824,2525
1049,PICKY,Picky,Picky,10,95,1,63,47,1,13,1,21,3,14,9,10,0,10,3,10,12,0,2,23,0x81,1,988,288,168,0,7081,2817,2349,3394,6424,1817,28513,1634,5403,2620,19849,2468,20110,3660,1304,4581,11026,3952,19853,225,6785,3036,715,685,4348,2766
1050,PICKY_,Picky,Picky,8,89,1,72,54,1,21,18,48,10,15,8,8,5,9,3,10,12,0,2,23,0x81,129,988,288,168,0,32206,1841,22043,4382,4881,2528,1751,1703,19939,336,6974,2170,13721,2430,13119,1461,2174,1466,1273,2262,24322,2728,4873,1990,19156,1675
1051,THIEF_BUG,Thief Bug,Thief Bug,20,354,1,126,143,1,63,5,24,3,19,7,10,0,12,5,10,12,0,4,60,0x2001083,1,1288,288,768,0,14140,2803,7075,1615,18106,2350,19955,984,10031,2747,7443,3487,18718,2818,2167,2661,7366,3419,2228,3271,31087,788,5710,2744,31449,822
1052,ROCKER,Rocker,Rocker,12,185,1,99,74,1,15,5,16,3,12,18,8,10,17,5,10,12,1,4,22,0x2000081,1,1864,864,540,0,24257,127,29082,1920,12635,805,9034,3279,12543,1068,2104,2587,17474,614,13885,4546,18767,3599,4594,2635,4415,3734,2509,2466,12443,2314
1053,THIEF_BUG_,Thief Bug Female,Thief Bug Female,20,531,1,180,203,1,40,20,28,7,12,10,23,10,24,10,10,12,1,4,27,0x200108B,1,988,288,768,0,7634,1564,1687,1784,19518,4518,6671,585,19501,2319,24021,4632,14297,1347,5092,3567,7136,4553,17069,2859,12374,2973,16866,2883,6554,3698
1054,THIEF_BUG__,Thief Bug Male,Thief Bug Male,32,595,1,198,224,1,43,31,40,20,17,37,22,5,31,13,10,12,1,4,27,0x200308D,129,988,288,768,0,6040,3324,6462,4101,5803,4645,7703,3419,6395,3842,14500,865,2332,1982,17339,530,1000,3353,537,1676,13841,1264,12740,4630,5718,3098
1055,MUKA,Muka,Muka,10,468,1,144,162,1,69,11,28,0,18,9,28,5,43,5,10,12,2,3,22,0x81,1,1960,960,384,0,19762,3449,1263,2116,4923,3104,17097,3402,5676,1424,2776,426,5415,1574,27313,3521,20027,4168,1000,1351,2020,4809,6937,3286,2521,4876
1056,SMOKIE,Smokie,Smokie,33,591,1,180,203,1,63,16,26,0,16,34,16,5,27,5,10,12,0,2,22,0x91,129,1576,576,420,0,1505,2841,4171,4045,565,1216,13836,3589,22695,3763,13976,4009,5368,223,20047,2222,12507,2747,1691,2002,4665,3092,18983,4541,2337,4941
1057,YOYO,Yoyo,Yoyo,32,898,1,270,305,1,36,9,40,0,20,11,34,20,19,10,10,12,0,2,22,0x108B,129,1054,54,384,0,5650,2247,946,3200,13664,2914,11009,2717,24073,3836,1118,4578,7318,1198,6797,937,27150,2535,4203,1527,9068,1858,4210,4165,4868,3477
1058,METALLER,Metaller,Metaller,66,1687,1,450,507,1,172,61,72,12,52,24,10,0,47,31,10,12,1,4,23,0x200108B,1,1708,1008,540,0,1693,319,19989,4193,24300,4629,16260,1584,12432,1552,7121,1154,1701,2076,5023,1990,5286,1770,16344,1957,20234,2227,5835,609,18564,4661
1059,MISTRESS,Mistress,Mistress,52,378000,1,368280,301320,1,882,3533,187,192,76,186,88,113,172,79,10,12,0,4,84,0x6283695,1,1148,648,300,184140,18929,2760,7156,876,18554,4124,15026,815,20262,2927,20327,1134,7595,3811,1604,1131,12089,1492,29120,1650,14391,2421,7155,4846,16653,4502
1060,BIGFOOT,Bigfoot,Bigfoot,30,587,1,180,203,1,49,10,55,7,18,4,7,0,12,0,10,12,2,2,22,0x91,1,1260,192,192,0,4574,992,18102,227,15049,3203,14589,2692,18536,846,20043,4421,20299,4606,10024,3495,15029,456,5536,1933,18787,3687,15280,1463,6446,2057
1061,NIGHTMARE,Nightmare,Nightmare,11,2872,1,501,1032,1,201,40,116,15,57,32,20,15,70,15,10,12,2,6,68,0x2003295,129,1816,816,432,0,5433,392,13430,772,12228,474,16766,1673,24328,3916,7399,2394,2144,3746,1353,2131,4815,4090,7367,3700,11030,664,719,1704,4545,3318
1062,PORING_,Santa Poring,Santa Poring,2,69,1,4,5,1,14,4,0,0,1,14,3,10,12,90,10,12,1,3,26,0x81,1,1672,672,480,0,6209,3367,19799,3007,20700,4071,5966,344,6219,4729,19525,1364,13451,1236,4223,4432,18841,618,6705,2596,13210,3542,6461,2578,17498,2019
1063,LUNATIC,Lunatic,Lunatic,3,55,1,36,27,1,12,1,18,0,10,3,3,0,8,5,10,12,0,2,60,0x81,1,1456,456,336,0,6224,1614,1667,504,13444,2075,7232,355,14545,3448,11058,3071,18775,1222,6855,3309,5682,3996,19810,3387,5465,2516,18511,1811,31053,4558
1064,MEGALODON,Megalodon,Megalodon,52,1335,1,342,386,1,91,47,52,28,35,24,30,28,29,15,10,12,1,1,29,0x81,1,2492,792,432,0,13766,3811,5260,385,5563,1650,12885,3496,7841,3072,5451,2861,7343,4913,4489,1574,20266,3789,4796,437,2852,3209,993,1012,15020,375
1065,STROUF,Strouf,Strouf,19,3052,1,626,705,1,241,16,67,21,49,16,31,20,33,20,10,12,2,5,61,0x3885,129,1872,672,384,0,16767,4100,6231,4845,1820,344,6854,2256,13725,4101,20118,4072,12777,3114,2488,1014,5070,2055,22827,764,31199,3908,4362,4067,20283,2516
1066,VADON,Vadon,Vadon,52,1252,1,342,386,1,48,35,54,21,35,21,28,20,33,15,10,12,0,5,21,0x91,129,1632,432,540,0,516,4361,573,766,6635,4352,4530,1521,18734,1148,6797,3443,2461,137,2839,3456,15417,1798,12826,4405,12819,4010,16740,3015,20440,535
1067,CORNUTUS,Cornutus,Cornutus,21,1450,1,369,414,1,87,68,42,28,32,27,45,26,27,15,10,12,0,5,21,0x91,129,1248,48,480,0,18987,4069,7442,3479,2382,1506,19640,3288,1478,680,7879,1153,5654,3074,521,2514,1988,2880,15152,320,15019,3467,1283,1426,550,2830
1068,HYDRA,Hydra,Hydra,26,854,1,233,263,9,38,8,20,32,10,9,14,0,35,2,10,12,0,3,41,0x84,129,800,432,600,0,6222,1315,11059,2909,26007,3334,2397,4613,6197,114,16515,1886,20286,4055,13535,2383,7888,1597,2792,4826,7215,2599,25682,1983,24176,908
1069,SWORD_FISH,Swordfish,Swordfish,30,2600,1,525,590,1,113,55,52,12,50,56,25,15,40,15,10,12,2,5,41,0x3885,1,1968,768,384,0,5181,1523,5195,2019,593,2356,15419,3646,7424,3941,580,3675,19720,1165,2564,4944,24074,4676,13029,2033,1166,3625,4519,3413,6856,4421
1070,KUKRE,Kukre,Kukre,42,1111,1,315,354,1,101,31,33,23,25,30,22,20,32,20,10,12,0,5,21,0x83,1,1776,576,288,0,4531,2864,29153,174,4646,1508,31066,2211,5786,2970,19085,2085,13438,2890,20168,1446,7825,1806,13183,1741,7138,1221,7302,4402,29006,279
1071,PIRATE_SKEL,Pirate Skeleton,Pirate Skeleton,28,1411,1,369,414,1,167,30,53,20,35,25,25,15,30,10,10,12,1,1,29,0x3885,1,1754,554,288,0,28506,4476,17108,3548,5569,592,1277,4263,31573,3145,19574,3096,1143,1543,6977,1595,18553,4900,13707,838,13075,3641,13556,2197,12104,2937
1072,KAHO,Kaho,Kaho,128,7045,1,1953,1463,1,501,405,106,55,81,61,55,65,66,73,10,12,1,6,83,0x2003885,1,1700,1000,500,0,2796,712,7446,528,5846,4998,12697,1535,22008,1437,31297,974,5841,3804,7238,817,2717,2393,13995,1143,31320,2473,13801,643,22644,1776
1073,CRAB,Crab,Crab,27,1233,1,315,354,1,34,13,36,11,22,14,24,7,28,15,7,12,0,5,21,0x81,1,992,792,360,0,31285,4408,4773,4608,6136,2571,18808,3053,5506,2299,7177,3302,29091,3370,5339,649,27019,2958,1606,1913,12022,4396,7544,4132,13078,3989
1074,SHELLFISH,Shellfish,Shellfish,65,1680,1,405,455,1,51,25,43,5,42,11,48,25,26,10,10,12,0,5,21,0x91,129,864,864,384,0,13345,935,7917,484,28442,2566,5363,1071,9102,1526,7530,4643,16040,3099,6303,4104,5315,4571,29061,4057,4608,587,5089,4476,9113,3510
//1075,TURTLE,Turtle,Turtle,3,77,0,0,0,1,1,2,35,0,1,1,1,1,1,1,7,12,0,5,22,0x81,200,500,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1076,SKELETON,Skeleton,Skeleton,12,612,1,162,183,1,120,10,21,2,24,15,30,5,19,1,10,12,1,1,29,0x91,129,2228,528,576,0,12887,1353,7123,4288,6204,4610,13697,1395,17302,2287,1154,3273,4170,4054,12916,2204,18531,2473,7223,799,1641,3481,13461,3737,24373,3119
1077,POISON_SPORE,Poison Spore,Poison Spore,33,456,1,162,183,1,65,23,40,8,19,17,22,5,20,5,10,12,1,3,25,0x3885,1,1672,672,288,0,6107,3126,1194,3724,7464,2103,14249,467,1985,3730,2999,2130,12354,3669,31132,4825,6273,1058,25145,3496,28241,1225,20023,1586,7616,3157
1078,RED_PLANT,Red Plant,Red Plant,1,5,0,0,0,1,1,1,100,99,0,0,0,0,0,0,7,12,0,3,22,0x170000,1,1,1,1,0,5196,587,20401,111,7515,4477,18697,855,7047,4352,6360,613,7056,1692,13429,4438,15154,511,11547,2120,7515,1944,1692,505,1089,1952
1079,BLUE_PLANT,Blue Plant,Blue Plant,1,10,0,0,0,1,1,1,100,99,0,0,0,0,0,0,7,12,0,3,22,0x170000,129,1,1,1,0,1640,2478,10023,4839,6834,129,19720,3537,11057,3564,24342,2250,14011,2709,14546,1639,7701,4737,2872,567,6332,1558,13254,1404,17156,151
1080,GREEN_PLANT,Green Plant,Green Plant,1,5,0,0,0,1,1,1,100,99,0,0,0,0,0,0,7,12,0,3,22,0x170000,1,1,1,1,0,5369,144,13927,3792,5437,1609,5116,1082,5857,850,2514,3648,6605,4477,7259,3060,12012,2143,5611,4195,7162,3715,6299,798,1211,1943
1081,YELLOW_PLANT,Yellow Plant,Yellow Plant,1,6,0,0,0,1,1,1,100,99,0,0,0,0,0,0,7,12,0,3,22,0x170000,129,1,1,1,0,13154,224,20129,1669,14568,2483,9007,3562,31395,4247,6347,586,22783,1551,16507,4292,15189,3264,20120,2493,2688,3089,16675,1120,12520,1939
1082,WHITE_PLANT,White Plant,White Plant,1,7,0,0,0,1,1,1,100,99,0,0,0,0,0,0,7,12,0,3,22,0x170000,1,1,1,1,0,5661,4466,13438,1617,13512,3847,6775,2757,2765,3727,13536,3276,13878,1051,20394,1440,12454,1424,5453,4013,28612,1372,1590,478,1243,4041
1083,SHINING_PLANT,Shining Plant,Shining Plant,1,20,0,0,0,1,1,1,100,99,0,0,0,0,0,90,7,12,0,3,26,0x170000,1,1,1,1,0,947,3793,718,3216,31569,3803,19628,4116,12174,4543,24335,853,558,2638,13622,2405,14408,3212,14460,1770,12338,3899,7443,3983,22875,2580
1084,BLACK_MUSHROOM,Black Mushroom,Black Mushroom,1,5,0,0,0,1,1,1,100,99,0,0,0,0,0,0,7,12,0,3,22,0x170000,1,1,1,1,0,24061,4758,1294,2786,14765,4710,1584,2095,12288,3733,626,1432,5666,741,7070,4495,2736,1302,13924,4980,704,2008,2692,4651,19053,1712
1085,RED_MUSHROOM,Red Mushroom,Red Mushroom,1,5,0,0,0,1,1,1,100,99,0,0,0,0,0,0,7,12,0,3,22,0x170000,1,1,1,1,0,16587,1776,14116,1043,5096,4881,13563,3361,12316,948,1103,2651,16864,817,17091,3937,2563,1293,6814,4183,12451,4115,5349,1206,2556,864
1086,GOLDEN_BUG,Golden Thief Bug,Golden Thief Bug,52,222750,1,194400,155520,1,992,1096,159,81,71,77,80,62,127,76,10,12,2,4,43,0x628108B,1,768,768,480,97200,19337,3295,12874,4214,5069,636,5038,1890,28464,2930,4300,2405,14427,4098,18604,4583,13218,175,4503,2682,21007,505,6370,1155,20497,2007
